GEOID,community_area_num,community_area_num2,tract_name,VULNERABLE,FLOOD_SUSC,SURFACE_TE,AIR_TOXINS,PERCENT_CA,PRIORITY,RANK,VULRANK,COMMUNITY,asthma_pct,copd_pct,depression_pct,physical_inactivity_pct,mental_health_pct,obesity_pct,TotalPopulation,AQH_score,AQH_score_popweighted,AQH_score_max,AQH_percentile,AQH_block_group_count,AQH_tract_population
17031842800,58,58,Census Tract 8428,0.1095,9.46300575471,83.2497297296,2.749,9.60775,0.88067471798,Very high,Very high,Brighton Park,8.8,4.9,18.2,34.8,16.9,35.7,"7,637",58.739,58.58,61.945,92.3,6.0,7420.0
17031351500,35,35,Census Tract 3515,0.0689,7.85219018575,79.2206521736,2.178,6.67926,0.48237790293,High,Very high,Douglas,12.5,6.0,19.7,28.6,19.9,39.0,823,49.839,49.839,49.839,81.0,1.0,507.0
17031980100,56,56,Census Tract 9801,0.0,9.91268982039,80.6725894478,0.0,0.61418,0.36044018915,High,Medium,Garfield Ridge,,,,,,,,,,,,,
17031833300,28,28,Census Tract 8333,-0.0217,9.02047329144,81.8842504748,2.694,22.3043,0.5174740203,High,Medium,Near West Side,8.4,2.7,19.0,15.0,14.6,21.5,"2,912",41.385,41.385,41.385,68.0,1.0,2646.0
17031832900,28,28,Census Tract 8329,-0.01,8.80780150885,78.2405405402,2.99,28.0282,0.26911278282,High,Medium,Near West Side,8.8,4.0,19.6,19.3,15.8,23.6,"1,995",33.701,33.124,36.378,51.0,2.0,2381.0
17031838000,28,28,Census Tract 8380,0.0305,9.10665079021,80.8678929758,2.539,17.0307,0.54087289697,High,High,Near West Side,12.1,7.6,19.6,29.1,18.2,38.5,"2,651",58.791,61.908,66.351,90.0,2.0,2760.0
17031838100,28,28,Census Tract 8381,0.0117,9.19840511809,80.888311688,2.926,9.71128,0.74998295054,Very high,Medium,Near West Side,11.0,8.2,18.8,27.2,15.8,37.2,"1,821",58.101,58.663,60.926,91.7,3.0,1980.0
17031030706,77,77,Census Tract 307.06,-0.0074,3.68549129256,74.1432485318,4.076,16.9308,0.10588766348,Medium,Medium,Edgewater,9.0,5.1,16.9,18.3,11.9,25.2,"2,933",23.002,22.374,25.153,29.0,2.0,4270.0
17031381500,38,38,Census Tract 3815,0.0711,9.40686012446,79.8999999998,1.917,9.73746,0.52146943441,High,Very high,Grand Boulevard,14.3,12.5,20.2,40.0,21.2,49.5,667,44.837,44.837,44.837,74.0,1.0,341.0
17031833100,28,28,Census Tract 8331,-0.1127,8.5101653462,80.8190382722,3.202,10.2449,0.71939138125,Very high,Low,Near West Side,8.8,2.0,20.2,11.0,13.2,23.4,"9,493",25.77,25.622,30.952,35.3,3.0,7441.0
17031839100,32,32,Census Tract 8391,-0.0426,9.17186542786,74.9888804264,6.766,2.11887,1.32169116016,Very high,Medium,Loop,8.5,2.0,19.0,11.6,14.0,22.1,"8,234",23.361,23.18,24.143,30.0,2.0,6760.0
17031081201,8,8,Census Tract 812.01,-0.2026,9.84002165783,72.8000000006,5.615,6.50734,0.91230180229,Very high,Low,Near North Side,8.8,3.4,18.8,12.3,11.3,22.1,"5,080",27.155,26.952,28.435,39.0,3.0,4656.0
17031150401,15,15,Census Tract 1504.01,0.0177,8.9955114613,85.0357142852,2.712,20.6453,0.72480542683,Very high,Medium,Portage Park,9.6,5.9,20.0,22.7,15.0,29.3,"4,681",15.811,15.851,16.391,11.0,4.0,5266.0
17031150501,15,15,Census Tract 1505.01,-0.019,8.25407711217,84.5046874994,2.639,23.8918,0.56616876812,Very high,Medium,Portage Park,8.8,4.4,18.4,17.9,12.8,26.3,"3,823",16.769,16.96,17.781,14.0,3.0,4050.0
17031843000,29,29,Census Tract 8430,0.0293,9.34841995248,81.8190158468,2.066,10.1487,0.63425471014,Very high,High,North Lawndale,14.2,10.4,20.3,38.4,22.2,47.2,"2,880",74.662,74.843,76.773,99.0,2.0,2689.0
17031842900,28,28,Census Tract 8429,0.0404,9.13436092812,80.9539532978,2.306,8.23131,0.65683860903,Very high,High,Near West Side,12.8,11.0,20.8,37.0,19.8,43.7,"2,480",68.217,69.722,73.186,97.0,4.0,2050.0
17031842100,23,23,Census Tract 8421,0.0405,9.37155136575,84.203991131,2.172,13.6337,0.72584247229,Very high,High,Humboldt Park,11.1,7.3,18.6,35.4,18.2,40.7,"6,650",47.497,47.11,51.271,77.8,6.0,7664.0
17031841900,28,28,Census Tract 8419,-0.0164,8.8443559234,81.7189017944,3.086,6.56645,0.85119683865,Very high,Medium,Near West Side,9.5,2.3,20.5,15.1,17.7,21.7,"6,500",27.501,28.419,31.814,39.0,2.0,6509.0
17031080201,8,8,Census Tract 802.01,-0.3773,9.84702970297,76.1250000002,4.027,20.2179,0.49851886452,High,Very low,Near North Side,9.1,3.9,19.9,12.8,11.9,22.8,"3,375",25.681,25.379,26.732,35.7,3.0,3230.0
17031070101,7,7,Census Tract 701.01,-0.2658,1.64573939145,72.8376440468,2.487,24.2909,-0.6035119756,Very low,Very low,Lincoln Park,9.2,3.6,20.8,13.0,13.1,23.1,"4,171",19.567,19.419,22.382,20.7,3.0,3618.0
